subject,body,queue,sector,specific_sector,priority,priority_level,language,dataset_source
dringend: fehler bei der zahlungsabwicklung der shopify-abonnementabrechnung,"liebes support-team, ich kontaktiere sie im namen von nextwave marketing bezüglich eines ernsthaften problems mit der shopify-abonnementabrechnung. wir haben eine störung bei der zahlungsabwicklung, die die abonnements unserer kunden betrifft. dies ist ein hochprioritäres problem, das umgehend behoben werden muss, um dienstunterbrechungen zu vermeiden. das problem besteht seit gestern. wir würden ihre schnelle hilfe bei der lösung dieser angelegenheit sehr schätzen. bitte lassen sie mich wissen, falls sie weitere informationen benötigen. vielen dank für ihre schnelle aufmerksamkeit.",account & billing management,account & billing management,nan,high,4,german,german
build-fehler aufgetreten,"hallo support-team, wir haben gelegentlich build-fehler in der gcc 11.1 ci-pipeline für shoplink commerce, was zu verzögerungen bei der bereitstellung führt. wir haben eine vorübergehende lösung gefunden, indem wir auf gcc 10.3 zurückgekehrt sind. ihre hilfe bei der behebung dieses problems wäre sehr geschätzt. vielen dank, <name>",software development,software development,nan,medium,3,german,german
aktualisierung zur hipaa-konformität für cms,"liebes support-team, ich benötige unterstützung bei der aktualisierung der hipaa-konformitätsdokumentation im typo3 cms medisecure health system. ich suche nach verfahrensanweisungen, um die übereinstimmung mit den anforderungen von recht und compliance sicherzustellen. vielen dank, <name>",legal & compliance requests,legal & compliance requests,nan,low,2,german,german
probleme mit der hubspot-funktionalität,"liebes support-team, ich habe unregelmäßige button-positionen innerhalb des hubspot crm, was zu verwirrung bei den nutzern führt. die inkonsistenzen im branding der ignitebrand-oberfläche erfordern ebenfalls manuelle anpassungen der feldausrichtung. ich wäre dankbar für unterstützung bei der lösung dieses mittleren prioritätsproblems. beste grüße, <name>",user experience & design feedback,user experience & design feedback,nan,medium,3,german,german
problem mit der telemedizin-plattform,"liebes support-team, ich habe ein schwerwiegendes navigationsproblem im portal von clinicsync, das den zugang der patienten zu ki-diagnosen unterbricht. ich benötige dringend unterstützung, um dieses problem zu beheben.",user experience & design feedback,user experience & design feedback,nan,high,4,german,german
unterstützung bei der smartsheet-integration erforderlich,"sehr geehrtes support-team,\n\nich kontaktiere sie, um die neuesten anweisungen zur smartsheet-integration anzufordern. insbesondere benötige ich eine klärung der bestimmungen zur ausfallzeitstrafe dritter innerhalb unserer lieferantenverträge. es wäre hilfreich, wenn sie mir die aktuellste dokumentation zur verfügung stellen oder mich an die stelle verweisen könnten, an der ich diese details finde.\n\ndies ist eine anfrage mit niedriger priorität; dennoch möchte ich sicherstellen, dass das legallink-team die korrekten informationen hat. bitte informieren sie mich, falls weitere angaben erforderlich sind, um bei dieser anfrage zu helfen.\n\nvielen dank für ihre unterstützung.\n\nmit freundlichen grüßen,",partner & vendor coordination,partner & vendor coordination,nan,low,2,german,german
unterstützung bei der github-dokumentation,"liebes support-team,\n\nich möchte eine verbesserung der github-dokumentation vorschlagen, die sich speziell auf die einrichtung von etl-pipelines bezieht. als nutzer von optiinvest analytics bin ich der meinung, dass eine umfassendere dokumentation die effizienz unserer täglichen portfolio-berichtserstellung deutlich steigern würde. diese anfrage entspricht den zielen unseres data analytics & reporting-teams, das github als versionskontrolllösung nutzt. ich wäre ihnen dankbar, wenn die dokumentation entsprechend aktualisiert werden könnte.\n\nvielen dank für ihre zeit und ihr verständnis.\n\nmit freundlichen grüßen\n<name>",data analytics & reporting,data analytics & reporting,nan,low,2,german,german
benötigte unterstützung,"sehr geehrtes support-team, ich habe bei meiner terraform-bereitstellung einen schweren fehler. ich wäre ihnen dankbar für ihre schnelle hilfe, dieses problem so schnell wie möglich zu lösen. - <name>",release management,release management,nan,high,4,german,german
probleme mit der datenübertragung des smart trackers,"liebes support-team, wir haben sporadische ausfälle bei der datenübertragung vom smart tracker innerhalb der verkehrsanalytik-plattform urbangrid dynamics. dieses problem führt zu verzögerungen bei den adaptiven beleuchtungsanpassungen, und als vorübergehende maßnahme haben wir auf manuelle protokollierung zurückgegriffen.",security operations,security operations,nan,medium,3,german,german
fehler in der wolfram mathematica etl-datenpipeline,"liebes support-team, wir haben ein ernsthaftes problem mit der etl-pipeline in wolfram mathematica. unsere prozesse zur aggregation finanzieller daten werden nicht erfolgreich abgeschlossen, wodurch die client-dashboards einfrieren und möglicherweise fristen für compliance-berichte gefährdet sind. versuche, das system neu zu starten, haben das problem nicht behoben. wir benötigen sofortige hilfe, um dieses problem zu beheben. bitte unterstützen sie uns bei der diagnose des problems. - <name>",data analytics & reporting,data analytics & reporting,nan,high,4,german,german
